Energy	SaddleIndex	Beta
-2.0	0.0	0.9913407892335327
-2.0	0.0	1.1461184189159785
-2.0	0.0	1.1372568313495477
-2.0	0.0	1.1185626127109614
-2.0	0.0	1.1236909439529494
-2.0	0.0	1.44017071918998
-2.0	0.0	1.176296000759266
-2.0	0.0	1.3649726589010716
-2.0	0.0	1.6121524305081056
-2.0	0.0	1.2379161243822696
-2.0	0.0	1.564777268683127
-2.0	0.0	1.5596667301619997
-2.0	0.0	1.50035477362535
-2.0	0.0	1.5681280284312589
-0.01662049861495845	121.0	0.09799946366211872
-0.18282548476454294	86.0	0.1219969742251151
-0.21606648199445982	89.0	0.10192394014031408
-0.08310249307479224	103.0	0.10755213354946146
-0.08310249307479224	109.0	0.09325523339581633
-0.29362880886426596	84.0	0.13228597565093894
-0.17174515235457063	91.0	0.10269658655022226
-0.10526315789473684	94.0	0.10555139064920226
-0.22714681440443213	91.0	0.11629155422588862
-0.21606648199445982	87.0	0.11785621601159287
-0.37119113573407203	62.0	0.1428111258960426
-0.038781163434903045	98.0	0.1399912983749264
-0.3268698060941828	79.0	0.17259761221716163
-0.3047091412742382	71.0	0.1383989668949744
-0.28254847645429365	84.0	0.13239979614199693
-0.3268698060941828	61.0	0.1507799455638819
-0.21606648199445982	87.0	0.16054726397807106
-0.26038781163434904	82.0	0.14920982515931783
-0.481994459833795	71.0	0.1868119159923401
-0.27146814404432135	83.0	0.1589811480552138
-0.5152354570637119	59.0	0.18284613960133092
-0.37119113573407203	77.0	0.16924335363159204
-0.4376731301939058	55.0	0.189376795813585
-0.29362880886426596	71.0	0.13701101696091925
-0.4930747922437673	57.0	0.17843967109786188
-0.3490304709141274	72.0	0.18027457049920065
-0.5041551246537396	53.0	0.23481046749645038
-0.4709141274238227	61.0	0.223854792834796
-0.3268698060941828	73.0	0.2088694783512903
-0.4598337950138504	65.0	0.19363969206162812
-0.3490304709141274	79.0	0.19744451174306352
-0.4598337950138504	68.0	0.23314727430984242
-0.5484764542936288	60.0	0.24564851183418623
-0.5595567867036011	46.0	0.24773118771350267
-0.5373961218836565	58.0	0.23721720768236948
-0.5706371191135734	58.0	0.27840299258823803
-0.6149584487534626	49.0	0.2780318319267777
-0.5595567867036011	59.0	0.23071973838484983
-0.5152354570637119	61.0	0.2392092652613262
-0.7922437673130194	36.0	0.3110669763866247
-0.8808864265927978	39.0	0.35687975994098803
-0.7700831024930748	44.0	0.2968697780659075
-0.703601108033241	36.0	0.3139367053113027
-0.8033240997229917	34.0	0.3570758837398839
-0.8254847645429363	39.0	0.29599968073065563
-0.7590027700831025	42.0	0.3398906519775445
-0.703601108033241	39.0	0.3043702540567809
-1.0470914127423823	33.0	0.3912842208682969
-1.146814404432133	28.0	0.3983809744283018
-1.700831024930748	16.0	0.46504836954990036
-0.9806094182825484	36.0	0.42012147648742687
-1.5789473684210527	19.0	0.4535222328547053
-0.9141274238227147	39.0	0.374224934512349
-1.1911357340720221	34.0	0.4312078211432581
-1.18005540166205	23.0	0.42906215231485095
